time Hut Table
545.2429413 27.01 29.63
546.2446167667 27.02 29.63
547.2448780333 27 29.6
548.24708155 27.01 29.6
549.2476548667 27.02 29.62
550.2485777 27.02 29.62
551.2495296167 27.02 29.62
552.2502233 27.01 29.61
553.25070195 27 29.61
554.25136575 26.99 29.62
555.2524516 26.99 29.61
556.2525217667 26.99 29.6
557.2533513667 26.98 29.6
558.2537974167 27 29.61
559.2545492 27.01 29.62
560.2553829667 27 29.61
561.2569992833 27 29.61
562.2585175667 27 29.61
563.2586114167 27.01 29.6
564.2592052333 27.01 29.62
565.2608416 27.01 29.6
566.2610846167 27 29.6
567.2626813833 27 29.6
568.2636344333 27.01 29.59
569.26508855 27 29.59
570.26552795 26.99 29.6
571.2657884667 26.99 29.62
572.2662162167 26.99 29.61
573.2662622333 26.99 29.6
574.2674112167 27 29.6
575.2676768167 27 29.58
575.73215875 26.99 29.58
576.5778628167 26.99 29.59
577.5792928833 26.99 29.59
578.5805349333 26.99 29.59
579.58192305 26.99 29.61
580.5820203333 26.99 29.61
581.5832434167 26.98 29.6
582.5842106167 26.98 29.59
583.58584675 26.98 29.59
584.58698925 26.96 29.6
585.5879224 26.98 29.59
586.58847945 26.98 29.6
587.5896471 26.98 29.59
588.5897638 26.98 29.59
589.5902993333 26.97 29.59
590.5913238333 26.97 29.58
591.59217105 26.98 29.56
592.59271195 26.98 29.57
593.5937053 26.96 29.58
594.5945344333 26.98 29.57
595.5958441667 26.98 29.57
596.5960758333 26.99 29.58
597.5968778333 26.98 29.58
598.5977272833 26.98 29.59
599.59776845 26.98 29.58
600.5990714167 26.98 29.58
601.6003893667 26.97 29.57
602.6012294167 26.97 29.58
603.6016615333 26.97 29.58
604.6029958167 26.97 29.58
605.60443215 26.97 29.58
606.6059944833 26.97 29.58
607.6066858667 26.97 29.56
608.6071858833 26.97 29.57
609.6072997 26.98 29.57
610.60794985 26.97 29.56
611.6083895167 26.97 29.57
612.6093028833 26.97 29.57
613.6096753 26.98 29.56
614.6112023667 26.97 29.56
615.6113805333 26.97 29.58
616.6124806667 26.97 29.58
617.6129482667 26.97 29.57
618.61370725 26.97 29.56
619.6151828667 26.98 29.57
620.6155614833 26.97 29.57
621.6160454333 26.98 29.59
622.6165672667 26.96 29.57
623.6167568667 26.96 29.57
624.6176558833 26.96 29.57
625.6178853333 26.96 29.57
