 value | value | time   
 26.74 | 27.69 | 2018-09-12 15 55 37.772233
 26.75 | 27.71 | 2018-09-12 15 56 37.833652
 26.74 | 27.7 | 2018-09-12 15 57 37.895991
 26.75 | 27.68 | 2018-09-12 15 58 37.960236
 26.78 | 27.69 | 2018-09-12 15 59 38.032619
 26.76 | 27.68 | 2018-09-12 16 0 38.094181
 26.74 | 27.68 | 2018-09-12 16 1 38.157306
 26.71 | 27.66 | 2018-09-12 16 2 38.223745
 26.76 | 27.69 | 2018-09-12 16 3 38.282716
 26.79 | 27.68 | 2018-09-12 16 4 38.346275
 26.77 | 27.67 | 2018-09-12 16 5 38.393776
 26.79 | 27.66 | 2018-09-12 16 6 38.445957
 26.74 | 27.67 | 2018-09-12 16 7 38.507395
 26.73 | 27.68 | 2018-09-12 16 8 38.579876
 26.71 | 27.68 | 2018-09-12 16 9 38.62822
 26.72 | 27.69 | 2018-09-12 16 10 38.681119
 26.78 | 27.69 | 2018-09-12 16 11 38.739417
 26.73 | 27.68 | 2018-09-12 16 12 38.796756
 26.79 | 27.69 | 2018-09-12 16 13 38.855554
 26.79 | 27.67 | 2018-09-12 16 14 38.925887
 26.77 | 27.67 | 2018-09-12 16 15 38.98282
 26.79 | 27.66 | 2018-09-12 16 16 39.042715
 26.78 | 27.67 | 2018-09-12 16 17 39.116551
 26.8 | 27.67 | 2018-09-12 16 18 39.175772
 26.77 | 27.68 | 2018-09-12 16 19 39.237965
